Time,x5202,x7272,x4927,x4502
1,55,682,2460,3595
2,56,672,2543,3575
3,56,668,2544,3570
4,57,674,2500,3500
5,60,711,2535,3545
6,62,726,2522,3550
7,61,743,2541,3580
8,59,738,2480,3525
9,58,730,2464,3530
10,60,734,2430,3535
11,62,753,2390,3560
12,63,756,2461,3565
13,66,755,2470,3615
14,66,775,2463,3665
15,65,775,2502,3670
16,66,780,2508,3680
17,66,785,2482,3655
18,62,770,2518,3635
19,61,772,2545,3700
20,60,765,2504,3695
21,62,743,2589,3680
22,66,740,2498,3660
23,66,763,2512,3710
24,71,771,2467,3700
25,73,782,2462,3710
26,73,791,2495,3715
27,73,762,2414,3715
28,74,767,2402,3730
29,72,769,2396,3715
30,70,749,2411,3685
31,68,750,2398,3650
32,68,741,2410,3635
33,68,722,2413,3660
34,72,757,2412,3640
35,74,784,2363,3650
36,74,799,2424,3710
37,81,795,2416,3715
38,85,826,2420,3725
39,86,866,2436,3725
40,90,884,2447,3725
41,87,859,2422,3740
42,86,826,2409,3725
43,91,856,2411,3740
44,92,865,2448,3770
45,92,852,2412,3755
46,91,845,2452,3770
47,89,877,2464,3795
48,91,914,2519,3805
49,90,930,2536,3840
50,86,926,2535,3865
51,84,906,2497,3840
52,86,911,2528,3835
53,91,937,2478,3805
54,95,948,2483,3805
55,93,962,2477,3835
56,95,932,2462,3845
57,96,917,2458,3870
58,94,943,2491,3875
59,94,917,2532,3865
60,93,914,2546,3865
61,95,920,2488,3865
62,110,948,2471,3860
63,113,949,2477,3855
64,111,1008,2485,3975
65,106,1002,2504,3990
66,102,989,2525,4005
67,106,1007,2524,4025
68,105,1036,2517,4140
69,106,1050,2506,4270
70,108,1073,2513,4380
71,103,1052,2476,4325
72,101,1034,2525,4395
73,105,1096,2571,4450
74,104,1079,2610,4435
75,102,1045,2638,4445
76,97,1022,2717,4365
77,99,1035,2680,4455
78,100,1096,2727,4550
79,101,1085,2730,4615
80,102,1090,2743,4630
81,106,1140,2791,4695
82,107,1161,2783,4700
83,105,1132,2816,4680
84,100,1159,2790,4675
85,118,1087,2865,4550
86,122,1150,2861,4715
87,124,1142,2909,4700
88,116,1226,2875,4625
89,114,1220,2886,4675
90,111,1163,2896,4675
91,118,1128,2800,4690
92,114,1064,2735,4660
93,117,1062,2741,4705
94,118,1037,2775,4710
95,118,1065,2839,4790
96,115,1068,2801,4775
97,114,1054,2828,4805
98,116,1097,2832,4815
99,112,1082,2883,4765
100,111,1075,2877,4700
101,117,1108,2844,4795
102,116,1098,2899,4890
103,115,1100,2929,4935
104,113,1115,2911,4920
105,113,1150,3085,4945
106,113,1154,2982,5000
107,114,1186,2993,5080
108,114,1241,3000,5140
109,114,1214,2994,5130
110,113,1263,2974,5060
111,111,1285,2977,5150
112,109,1334,2977,5250
113,105,1285,2909,5130
114,108,1331,2913,5190
115,112,1325,3020,5280
116,109,1310,2969,5190
117,106,1303,2976,5250
118,106,1281,2999,5250
119,107,1299,3055,5190
120,104,1266,3000,5140
121,106,1290,2989,5030
